,ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
1170,6147,1971,Graduation,Divorced,"$25,818.00 ",1,0,10/18/12,51,5,2,8,2,2,9,1,0,1,2,7,0,0,0,0,0,0,0,GER
2063,6237,1966,PhD,Single,"$7,144.00 ",0,2,12/7/13,92,81,4,33,5,2,291,0,23,1,1,0,0,0,0,0,0,0,0,SP
1953,8700,1986,Basic,Single,"$14,906.00 ",0,0,12/22/12,86,7,7,14,7,16,15,3,2,1,3,7,0,0,0,0,0,0,0,SA
2078,9451,1965,Graduation,Married,"$73,538.00 ",0,1,11/25/12,92,811,76,428,99,137,107,3,10,4,9,7,0,0,0,0,0,0,0,CA
2172,10262,1980,Graduation,Married,"$15,072.00 ",2,0,5/10/13,96,8,2,15,0,10,18,4,3,1,3,5,0,0,0,0,0,0,0,IND
1325,7055,1952,PhD,Together,"$61,010.00 ",0,1,10/9/12,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,CA
609,7807,1974,Graduation,Married,"$44,989.00 ",0,1,9/12/12,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,SP
1193,2223,1965,2n Cycle,Divorced,"$64,176.00 ",0,1,8/3/12,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,0,SP
2143,5268,1960,Graduation,Married,"$29,440.00 ",1,1,8/11/13,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,GER
562,9909,1996,2n Cycle,Married,"$7,500.00 ",0,0,11/9/12,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,0,AUS
379,10241,1975,2n Cycle,Divorced,"$11,448.00 ",0,0,12/15/13,16,0,0,0,6,2,6,1,1,0,2,6,0,0,0,0,0,0,0,SP
1721,4303,1957,PhD,Together,"$6,835.00 ",0,1,12/8/12,76,107,2,12,2,2,12,0,0,0,1,20,0,0,0,0,0,0,0,CA
1666,7254,1969,Graduation,Together,"$38,361.00 ",1,0,12/27/13,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,SA
384,10477,1973,PhD,Together,"$39,435.00 ",1,0,8/6/13,16,71,0,18,0,0,13,1,3,1,2,7,0,0,0,0,0,0,0,SP
487,5204,1971,Graduation,Together,"$74,538.00 ",0,0,6/29/13,21,380,98,733,110,112,28,1,8,8,5,3,0,0,1,0,0,1,0,SP
1788,375,1954,Graduation,Divorced,"$76,773.00 ",0,0,2/25/13,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,0,SP
758,9850,1972,2n Cycle,Married,"$24,884.00 ",1,0,11/29/12,32,3,6,7,0,0,3,1,0,0,3,7,0,0,0,0,0,0,0,SP
1732,8789,1989,2n Cycle,Married,"$59,060.00 ",1,0,1/11/14,77,35,40,111,36,40,12,3,3,1,7,4,0,0,0,0,0,0,0,SP
1273,6866,1969,Master,Together,"$35,924.00 ",1,1,3/23/14,56,8,0,14,2,3,7,1,1,0,3,5,0,0,0,0,0,0,0,SA
1887,3523,1962,Graduation,Together,"$75,072.00 ",0,1,1/23/13,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,SP
252,6404,1969,Graduation,Together,"$58,917.00 ",1,2,3/24/13,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,0,SA
1036,4653,1978,Graduation,Together,"$42,011.00 ",1,0,3/26/13,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,SA
1399,4937,1973,2n Cycle,Married,"$46,094.00 ",1,1,6/10/14,62,12,2,20,3,2,5,1,1,0,3,7,0,0,0,0,0,0,0,SP
1015,10509,1955,Master,Single,"$36,927.00 ",1,1,6/2/14,46,51,0,16,0,0,4,2,3,0,3,8,0,0,0,0,0,0,0,US
1571,3717,1959,Graduation,Married,"$61,180.00 ",0,1,4/23/14,70,403,24,29,6,24,218,2,5,5,6,3,1,0,0,0,0,0,0,SP
1761,4227,1968,Master,Together,"$32,889.00 ",1,1,9/6/13,78,28,0,13,4,2,8,3,2,1,3,5,0,0,0,0,0,0,0,SP
1864,4475,1949,PhD,Married,"$69,098.00 ",0,0,2/16/13,82,1315,22,780,145,0,178,1,7,8,9,5,0,0,0,0,0,0,0,SP
2218,4974,1970,Graduation,Single,"$83,273.00 ",1,2,9/25/12,98,433,89,650,16,102,102,10,4,6,9,7,0,0,0,0,0,0,0,US
648,2826,1967,Graduation,Married,"$22,574.00 ",2,1,10/28/13,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,SP
135,7233,1972,Graduation,Married,"$69,209.00 ",0,0,9/17/12,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA
565,8832,1976,Master,Together,"$37,509.00 ",1,0,9/12/12,24,37,5,56,12,8,5,2,3,0,4,7,0,0,0,0,0,0,0,GER
1003,1204,1970,PhD,Married,"$67,536.00 ",0,1,5/22/13,45,1253,0,447,23,71,35,3,11,5,11,8,0,0,0,1,0,0,0,SA
2230,3363,1974,2n Cycle,Married,"$20,130.00 ",0,0,3/17/14,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,SP
762,5117,1963,2n Cycle,Married,"$32,632.00 ",0,0,8/2/12,32,63,151,137,153,19,53,2,4,4,8,5,0,0,0,0,0,0,0,SP
1245,7108,1965,Master,Widow,"$51,390.00 ",1,1,9/8/12,54,205,20,47,23,2,56,6,5,2,5,5,0,0,0,0,0,0,0,SA
2034,1357,1970,Graduation,Together,"$74,854.00 ",1,2,4/8/13,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,GER
1154,5290,1964,PhD,Married,"$41,551.00 ",1,1,8/14/13,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,CA
532,1802,1971,Graduation,Married,"$64,795.00 ",0,1,1/17/13,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,SP
1126,10708,1978,2n Cycle,Single,"$36,975.00 ",1,0,12/28/13,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,SP
1974,4478,1979,Graduation,Married,"$63,777.00 ",1,1,3/24/13,87,457,5,106,15,17,53,8,11,1,6,8,0,0,0,0,0,0,0,IND
132,8430,1957,Graduation,Together,"$21,994.00 ",0,1,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS
220,3376,1970,Master,Divorced,"$55,282.00 ",1,0,12/13/13,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,SP
615,762,1981,2n Cycle,Together,"$75,774.00 ",1,0,5/2/14,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,SP
53,1619,1956,Graduation,Married,"$90,369.00 ",0,0,4/28/14,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP
1664,902,1980,Graduation,Together,"$62,994.00 ",1,0,3/4/14,74,224,12,48,4,12,12,1,6,2,4,6,0,0,0,0,0,0,0,CA
1467,8315,1995,Graduation,Single,"$34,824.00 ",0,0,3/26/14,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,US
2204,8475,1973,PhD,Married,"$157,243.00 ",0,1,3/1/14,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,IND
2183,7613,1974,2n Cycle,Together,"$49,669.00 ",1,0,5/24/14,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,0,SP
1544,10513,1992,Graduation,Together,"$63,207.00 ",0,0,1/20/13,68,438,169,565,91,169,70,1,2,3,6,7,0,0,0,1,0,0,0,SP
674,6357,1959,2n Cycle,Divorced,"$59,052.00 ",0,1,11/17/13,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,SA
841,1626,1973,PhD,Divorced,"$35,860.00 ",1,1,5/19/14,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,1,0,SA
1440,10542,1968,PhD,Married,"$36,778.00 ",1,1,8/5/12,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,0,SP
1982,7274,1957,Graduation,Married,"$78,618.00 ",0,0,9/28/12,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,SP
1351,4518,1979,Graduation,Together,"$85,693.00 ",0,1,4/20/13,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,CA
1417,2926,1952,Master,Together,"$55,951.00 ",0,1,8/23/12,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,SA
1478,849,1953,Master,Together,"$56,129.00 ",0,1,6/20/13,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,SP
148,10356,1957,PhD,Divorced,"$41,437.00 ",1,1,9/22/12,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP
2075,5631,1991,Graduation,Single,"$49,767.00 ",0,0,5/2/13,92,202,47,197,55,42,149,1,5,4,8,4,0,0,0,0,0,0,0,US
1256,9739,1963,Graduation,Single,"$34,377.00 ",0,1,1/19/13,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0,SP
2147,3130,1964,Graduation,Single,"$18,701.00 ",1,1,6/4/13,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,SP
905,9847,1955,2n Cycle,Married,"$62,972.00 ",0,1,8/3/12,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,0,SP
1834,17,1971,PhD,Married,"$60,491.00 ",0,1,9/6/13,81,637,47,237,12,19,76,4,6,11,7,5,0,0,0,0,0,0,0,SP
909,1458,1982,Master,Married,"$21,059.00 ",1,0,1/7/14,40,8,3,19,3,3,8,3,3,0,3,6,0,0,0,0,0,0,0,SP
1323,9365,1976,PhD,Single,"$60,000.00 ",0,1,12/22/12,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,SP
512,6892,1968,Graduation,Divorced,"$61,671.00 ",0,1,6/3/14,23,641,7,56,0,0,28,8,10,4,6,8,0,1,0,1,0,0,0,SP
289,1446,1956,Master,Single,"$86,424.00 ",0,0,4/5/14,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,SA
1996,503,1985,Master,Married,"$20,559.00 ",1,0,3/12/13,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,AUS
1439,10897,1974,Graduation,Married,"$67,445.00 ",0,1,8/12/12,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,AUS
2139,3117,1955,Graduation,Single,,0,1,10/18/13,95,264,0,21,12,6,147,3,6,1,5,7,0,0,0,0,0,0,0,AUS
1174,5247,1955,PhD,Married,"$38,725.00 ",1,1,5/10/14,52,31,0,6,2,1,5,2,1,0,4,4,0,0,0,0,0,0,0,SP
1343,5186,1955,PhD,Married,"$58,482.00 ",0,1,3/12/14,59,576,7,115,19,7,7,2,7,4,9,6,0,1,0,0,0,0,0,CA
283,3403,1958,PhD,Together,"$78,952.00 ",0,1,9/24/12,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,SP
1785,500,1977,Graduation,Together,"$96,876.00 ",0,0,8/6/13,79,908,43,735,40,194,21,1,7,7,9,2,0,1,1,1,0,1,0,SP
1018,2815,1975,Graduation,Married,"$33,183.00 ",1,0,2/24/14,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,SP
1630,2918,1981,Graduation,Divorced,"$28,510.00 ",1,1,4/13/13,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,SP
76,10352,1963,Graduation,Widow,"$34,213.00 ",1,1,9/7/12,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA
579,5909,1964,Graduation,Married,"$58,512.00 ",0,1,9/19/13,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,GER
98,8601,1980,Graduation,Married,"$80,011.00 ",0,1,4/29/13,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS
2026,4964,1958,PhD,Together,"$74,250.00 ",0,0,1/26/14,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,0,CA
1743,9426,1964,Master,Single,"$58,308.00 ",0,1,1/12/13,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,SP
568,1839,1974,Graduation,Single,"$43,322.00 ",0,0,4/21/14,25,56,7,48,10,2,18,1,3,0,4,7,0,0,0,0,0,0,0,IND
535,11112,1966,Graduation,Together,"$70,713.00 ",0,1,12/3/12,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,0,SP
1380,9353,1959,Graduation,Single,"$62,450.00 ",0,1,1/6/14,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,0,IND
1056,3075,1972,PhD,Married,"$59,973.00 ",0,0,9/11/13,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,SP
1711,8360,1971,2n Cycle,Married,"$54,690.00 ",1,1,11/7/13,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,SP
70,1772,1975,PhD,Married,"$79,174.00 ",0,0,1/11/13,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA
563,5907,1952,Master,Married,"$33,444.00 ",1,1,11/3/12,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,SP
1900,9349,1985,Graduation,Married,"$92,533.00 ",0,0,12/19/13,84,693,21,118,110,147,42,1,6,5,11,2,0,0,1,1,0,0,0,GER
745,3102,1981,2n Cycle,Together,"$19,414.00 ",1,0,10/16/13,32,2,3,12,3,5,7,1,1,0,3,8,0,0,0,0,0,0,0,CA
1358,8418,1958,2n Cycle,Single,"$38,741.00 ",1,1,3/30/14,60,7,10,17,8,6,13,2,2,0,3,7,0,0,0,0,0,0,0,GER
296,4808,1956,Graduation,Married,"$15,759.00 ",0,0,9/5/13,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0,SP
156,67,1972,Master,Single,"$46,423.00 ",1,1,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
1471,4887,1976,PhD,Divorced,"$55,412.00 ",1,1,11/22/13,65,10,5,28,11,1,8,1,2,0,3,5,0,0,0,0,0,0,0,CA
1355,164,1977,PhD,Married,"$28,973.00 ",0,0,10/13/12,59,206,0,46,3,2,12,2,5,1,5,8,0,0,0,0,0,0,0,SP
529,11187,1978,Basic,Single,"$26,487.00 ",1,0,5/20/13,23,2,8,10,12,14,23,3,2,1,3,5,0,0,0,0,0,0,0,CA
1498,4548,1981,Graduation,Single,"$41,967.00 ",1,1,11/23/13,66,23,4,10,0,2,15,1,1,0,3,4,0,0,0,0,0,0,0,CA
1285,5012,1989,Graduation,Married,"$28,691.00 ",1,0,7/4/13,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,SP
1490,4640,1967,Graduation,Divorced,"$70,647.00 ",0,1,9/21/12,65,561,85,171,25,123,114,2,4,7,13,2,0,0,0,0,0,0,0,SA
425,9560,1965,Graduation,Together,"$83,003.00 ",0,0,3/3/13,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,1,0,SP
893,7901,1971,Master,Married,"$34,109.00 ",0,1,11/6/13,39,9,1,5,2,1,4,1,0,0,3,4,0,0,0,0,0,0,0,AUS
805,10129,1966,Graduation,Together,"$82,427.00 ",0,0,3/12/14,35,482,147,509,104,107,107,1,3,5,12,1,0,0,1,0,0,0,0,SP
2066,7938,1958,PhD,Together,"$51,518.00 ",0,1,10/3/13,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,GER
692,10699,1985,Graduation,Married,"$44,322.00 ",1,0,6/16/14,30,46,0,40,3,0,3,2,3,0,3,8,0,0,0,0,0,0,0,SA
486,6721,1951,Graduation,Married,"$71,965.00 ",0,1,7/29/13,21,572,19,286,50,38,248,3,6,3,5,3,0,0,0,0,0,0,0,CA
14,10311,1969,Graduation,Married,"$4,428.00 ",0,1,10/5/13,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP
1853,2125,1959,Graduation,Divorced,"$63,033.00 ",0,0,11/15/13,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,US
2200,9771,1988,2n Cycle,Single,"$23,331.00 ",1,0,10/5/12,97,104,20,101,24,15,5,6,5,1,5,9,0,0,0,0,0,0,0,IND
10,2079,1947,2n Cycle,Married,"$81,044.00 ",0,0,12/27/13,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US
391,9653,1975,Graduation,Married,"$35,797.00 ",0,1,10/16/12,16,27,1,14,4,1,21,2,2,0,3,8,0,0,0,0,0,0,0,SA
723,9478,1985,Graduation,Single,"$66,503.00 ",1,0,8/14/12,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,SP
1791,4240,1978,Graduation,Married,"$17,345.00 ",1,0,11/3/12,79,4,9,16,17,0,12,2,2,1,2,8,0,0,0,0,0,0,0,SP
1464,9014,1975,Graduation,Married,"$37,085.00 ",1,1,6/26/14,65,39,1,16,2,0,3,4,3,0,3,8,0,0,0,0,0,0,0,IND
1212,4188,1957,Graduation,Single,"$36,864.00 ",0,1,8/13/12,53,204,5,39,17,0,89,3,5,2,4,8,0,0,0,0,0,1,0,AUS
452,3619,1960,2n Cycle,Divorced,"$87,305.00 ",0,0,9/23/12,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,1,0,AUS
1976,1118,1956,Master,Married,"$50,965.00 ",0,1,2/20/13,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,SP
489,10128,1958,Graduation,Together,"$53,977.00 ",0,1,6/8/13,21,620,16,165,0,24,82,5,5,5,12,5,0,0,0,0,0,0,0,CA
1280,4500,1991,PhD,Together,"$68,682.00 ",0,0,10/6/13,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,SP
602,1361,1974,Master,Married,"$82,584.00 ",0,0,6/4/13,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,1,0,SP
229,2387,1952,Master,Together,"$43,776.00 ",1,1,2/3/13,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,1,0,SA
1328,4988,1948,PhD,Married,"$34,469.00 ",1,1,5/4/14,58,19,6,20,0,5,12,3,1,1,4,4,0,0,0,0,0,0,0,SA
672,5350,1991,Master,Single,"$90,638.00 ",0,0,2/13/14,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,SA
503,8737,1978,Graduation,Divorced,"$55,563.00 ",0,1,4/5/14,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,SP
1263,6905,1994,Graduation,Together,"$80,685.00 ",0,0,8/22/12,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,0,SP
440,8416,1981,Graduation,Married,"$29,009.00 ",1,0,11/29/13,19,6,6,15,10,5,2,2,2,0,3,6,0,0,0,0,0,0,0,US
485,7881,1946,Master,Married,"$66,835.00 ",0,0,9/28/13,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,SP
646,498,1970,Graduation,Single,"$30,015.00 ",1,0,2/2/14,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,SP
48,340,1970,Graduation,Divorced,"$72,967.00 ",0,1,12/15/12,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER
1026,4580,1969,Graduation,Married,"$75,759.00 ",0,0,10/25/13,46,1394,22,708,89,91,182,1,9,7,9,5,1,0,1,1,0,1,0,SA
162,4198,1965,Graduation,Together,"$29,672.00 ",1,1,3/12/13,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP
654,6168,1963,Graduation,Divorced,"$45,146.00 ",1,1,7/15/13,28,33,0,5,0,0,15,2,1,1,2,4,0,0,0,0,0,0,0,IND
982,9738,1986,Master,Together,"$42,386.00 ",1,0,1/13/13,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,SA
806,807,1969,Master,Together,"$44,602.00 ",1,1,2/15/14,35,167,2,89,0,0,34,6,6,1,4,8,0,0,0,0,0,0,0,IND
1784,10067,1976,2n Cycle,Together,"$25,176.00 ",1,1,8/10/13,79,4,0,4,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,GER
823,9206,1968,Graduation,Together,"$77,382.00 ",0,1,1/7/14,36,491,48,231,112,105,134,2,5,7,12,1,0,0,1,0,0,0,0,SP
1537,5286,1987,Master,Single,"$41,020.00 ",0,0,10/28/13,68,112,1,54,7,7,36,1,3,2,4,3,0,0,0,0,0,0,0,CA
995,10176,1968,Graduation,Single,"$57,107.00 ",0,1,8/24/12,44,159,0,120,0,0,137,7,4,4,8,8,0,1,0,0,1,1,0,SP
418,1064,1971,PhD,Married,"$42,403.00 ",1,0,12/11/13,18,22,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,0,0,SP
488,5209,1954,Graduation,Divorced,"$50,002.00 ",0,1,6/17/13,21,443,5,71,21,16,82,2,8,2,7,7,0,0,0,0,0,0,0,SA
446,4855,1974,PhD,Together,"$30,351.00 ",1,0,6/6/13,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,0,US
1127,1176,1973,Graduation,Married,"$26,228.00 ",1,0,9/22/13,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,SP
992,9274,1961,Master,Married,"$80,950.00 ",0,0,3/28/13,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,SA
276,2677,1956,Graduation,Together,"$46,097.00 ",0,1,3/31/13,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,SA
1628,6945,1952,Graduation,Single,"$84,574.00 ",0,0,6/4/13,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,SP
1487,9707,1969,PhD,Married,"$55,212.00 ",0,1,11/23/12,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,SP
1183,2557,1970,Master,Single,"$29,548.00 ",1,0,8/29/13,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,SP
1354,1079,1971,PhD,Married,"$71,969.00 ",0,1,10/16/12,59,1000,0,76,0,0,10,3,3,4,9,8,0,1,0,0,0,0,0,IND
962,1867,1957,Graduation,Single,"$64,849.00 ",0,0,11/13/12,42,652,48,350,94,84,108,1,9,3,6,5,0,0,0,0,0,1,0,SP
1076,273,1970,Master,Married,"$36,138.00 ",1,1,7/16/13,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,GER
1787,2861,1983,Graduation,Single,"$24,072.00 ",1,0,4/16/13,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,SP
390,9530,1988,Graduation,Married,"$24,645.00 ",1,0,11/1/12,16,5,3,4,4,1,0,1,1,0,2,8,0,0,0,0,0,0,0,SA
547,4096,1968,Master,Divorced,"$41,335.00 ",1,0,12/26/13,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,US
191,9930,1944,PhD,Single,"$82,716.00 ",0,0,11/5/13,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,CA
264,6720,1968,Master,Together,"$43,795.00 ",0,1,10/16/13,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,1,0,SP
1211,10478,1950,PhD,Married,"$55,517.00 ",1,1,9/27/12,53,483,0,108,0,6,36,5,11,1,6,9,0,0,0,0,0,1,0,SA
530,2428,1970,Graduation,Married,"$28,164.00 ",1,0,5/4/13,23,3,18,26,11,8,12,3,2,0,4,7,0,0,0,0,0,0,0,GER
1217,202,1948,PhD,Widow,"$82,032.00 ",0,0,4/5/14,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,0,IND
